;group_id;user;task_id;n_attempt;spatialDimension;percSpatialValue;PercentileSpatialAbove85;PercentileSpatialBelow15;engageDimension;percEngageValue;PercentileEngageAbove85;PercentileEngageBelow15;exploreDimension;percExploreValue;PercentileExploreAbove85;PercentileExploreBelow15;experimentDimension;percExperimentValue;PercentileExperimentAbove85;PercentileExperimentBelow15;reflexDimension;percReflexValue;PercentileReflexAbove85;PercentileReflexBelow15;errorRectDimension;percErrorRectValue;PercentileErrorRectAbove85;PercentileErrorRectBelow15;persistenceDimension;percPersistenceValue;PercentilePersistenceAbove85;PercentilePersistenceBelow15;completed
2440;e6af7d42084352a39449e6d0a09b18cd;8b646f630d19b5df0e56ad347301a533;Bird Fez;11;0.5166666666666667;84.77366255144034;False;False;399.4011699999999;76.95473251028807;False;False;14.0;64.19753086419753;False;False;0.2504820724409623;61.7283950617284;False;False;31.588008000000002;39.50617283950618;False;False;1.0;56.584362139917694;False;False;280.5482288235293;76.95473251028807;False;False;True
2453;e6af7d42084352a39449e6d0a09b18cd;8cec40ccb0fb360dd8828fa1d8843528;Bird Fez;1;0.5952380952380952;90.53497942386832;True;False;260.44865200000004;60.90534979423869;False;False;14.0;64.19753086419753;False;False;0.10529663635717441;12.345679012345679;False;True;4.041521;8.641975308641976;False;True;2.0;69.75308641975309;False;False;161.448652;57.61316872427984;False;False;False
2454;e6af7d42084352a39449e6d0a09b18cd;8cec40ccb0fb360dd8828fa1d8843528;Bird Fez;2;0.6492063492063491;94.23868312757202;True;False;1279.8111570000005;98.35390946502058;True;False;20.0;99.1769547325103;True;False;0.21062751083105452;34.97942386831276;False;False;41.27673090909091;56.37860082304527;False;False;18.0;99.58847736625515;True;False;884.9200678910896;98.35390946502058;True;False;False
2455;e6af7d42084352a39449e6d0a09b18cd;8cec40ccb0fb360dd8828fa1d8843528;Bird Fez;7;0.6296296296296297;93.00411522633745;True;False;150.60274600000002;36.21399176954733;False;False;14.0;64.19753086419753;False;False;0.19442581702782874;28.80658436213992;False;False;57.726822;76.13168724279835;False;False;0.0;24.074074074074076;False;False;96.69365509090913;32.92181069958848;False;False;True
2462;e6af7d42084352a39449e6d0a09b18cd;92477c49111067683732d8dfc987d006;Bird Fez;13;0.0;10.2880658436214;False;False;93.974436;18.51851851851852;False;False;13.0;45.26748971193416;False;False;0.33725763269690956;93.82716049382717;True;False;20.920552999999998;18.930041152263374;False;False;0.0;24.074074074074076;False;False;60.12828215384616;18.51851851851852;False;False;True
2486;e6af7d42084352a39449e6d0a09b18cd;947329e4045fb60fd62c6ee739583545;Bird Fez;36;0.1;27.160493827160494;False;False;70.916338;14.40329218106996;False;True;11.0;20.5761316872428;False;False;0.2960086625375047;85.18518518518519;True;False;29.382606;33.333333333333336;False;False;0.0;24.074074074074076;False;False;46.016338;13.580246913580247;False;True;True
2509;e6af7d42084352a39449e6d0a09b18cd;953ea80f89aa793f2d8a17d212646301;Bird Fez;11;0.15384615384615385;33.74485596707819;False;False;408.961676;78.18930041152264;False;False;14.0;64.19753086419753;False;False;0.3045664498531358;89.30041152263375;True;False;21.714933428571427;20.164609053497944;False;False;0.0;24.074074074074076;False;False;287.0745792258065;78.60082304526749;False;False;True
2525;e6af7d42084352a39449e6d0a09b18cd;a139eff80ad1587e94570be61a28219e;Bird Fez;12;0.17424242424242425;37.4485596707819;False;False;142.657483;33.74485596707819;False;False;14.0;64.19753086419753;False;False;0.19048577540129247;27.57201646090535;False;False;49.100503;67.48971193415638;False;False;0.0;24.074074074074076;False;False;102.74081633333333;36.62551440329218;False;False;False
2526;e6af7d42084352a39449e6d0a09b18cd;a139eff80ad1587e94570be61a28219e;Bird Fez;13;0.5675675675675675;87.65432098765433;True;False;197.36980800000003;48.97119341563786;False;False;15.0;81.48148148148148;False;False;0.24293961330335315;55.1440329218107;False;False;45.262767;61.7283950617284;False;False;3.0;77.77777777777779;False;False;121.48091911111113;44.8559670781893;False;False;True
2544;e6af7d42084352a39449e6d0a09b18cd;a6f176cf29c7a3e3bf3fc3c2362ac8c8;Bird Fez;11;0.1320754716981132;30.8641975308642;False;False;464.162576;82.3045267489712;False;False;15.0;81.48148148148148;False;False;0.25944193504950985;68.3127572016461;False;False;25.503841714285713;25.102880658436217;False;False;3.0;77.77777777777779;False;False;361.2946514716981;85.59670781893004;True;False;True
