;group;user;task_id;puzzle_difficulty;puzzle_category;n_attempts;completed;timestamp;active_time;percentileActiveTime;n_events;percentileEvents;n_check_solution;percentileAtt;percentileComposite;persistence;n_breaks;n_snapshot;n_rotate_view;n_manipulation_events;time_failed_submission_exit;avg_time_between_submissions
e6af7d42084352a39449e6d0a09b18cd~2fc80637fca670560429037eb31234b6~Bear Market;e6af7d42084352a39449e6d0a09b18cd;2fc80637fca670560429037eb31234b6;Bear Market;1.0;Advanced;2.0;0.0;2019-10-25 11:27:04.365025-04:00;430.36;0.0;206.0;0.0;0.0;0.0;0.0;NON_PERSISTANT;1.0;0.0;1.0;94.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~2fc80637fca670560429037eb31234b6~Square Cross-Sections;e6af7d42084352a39449e6d0a09b18cd;2fc80637fca670560429037eb31234b6;Square Cross-Sections;0.199714;Intermediate;1.0;1.0;2019-10-25 11:14:02.946666-04:00;56.45;9.27;34.0;25.17;1.0;33.77;17.22;RAPID_SOLVER;0.0;0.0;0.0;14.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~2fc80637fca670560429037eb31234b6~Warm Up;e6af7d42084352a39449e6d0a09b18cd;2fc80637fca670560429037eb31234b6;Warm Up;0.183971;Advanced;2.0;1.0;2019-10-25 11:35:32.426474-04:00;90.34;88.6;51.0;92.11;1.0;88.6;90.35;PRODUCTIVE_PERSISTANCE;0.0;0.0;2.0;20.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~2fc80637fca670560429037eb31234b6~Object Limits;e6af7d42084352a39449e6d0a09b18cd;2fc80637fca670560429037eb31234b6;Object Limits;0.257177;Intermediate;3.0;1.0;2019-10-25 11:34:10.896610-04:00;326.0;82.83;133.0;86.87;5.0;68.69;84.85;PRODUCTIVE_PERSISTANCE;1.0;5.0;3.0;62.0;NA;89.8
e6af7d42084352a39449e6d0a09b18cd~2fc80637fca670560429037eb31234b6~Boxes Obscure Spheres;e6af7d42084352a39449e6d0a09b18cd;2fc80637fca670560429037eb31234b6;Boxes Obscure Spheres;0.266198;Intermediate;1.0;0.0;2019-10-25 11:22:40.739963-04:00;402.74;66.02;171.0;65.05;6.0;71.84;65.53;NO_BEHAVIOR;3.0;0.0;24.0;65.0;210.12;257.73
e6af7d42084352a39449e6d0a09b18cd~2fc80637fca670560429037eb31234b6~Bird Fez;e6af7d42084352a39449e6d0a09b18cd;2fc80637fca670560429037eb31234b6;Bird Fez;0.156674;Intermediate;1.0;0.0;2019-10-25 11:34:03.498777-04:00;7.15;0.0;5.0;0.0;0.0;0.0;0.0;NON_PERSISTANT;0.0;0.0;0.0;0.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~2fc80637fca670560429037eb31234b6~Angled Silhouette;e6af7d42084352a39449e6d0a09b18cd;2fc80637fca670560429037eb31234b6;Angled Silhouette;0.147673;Intermediate;1.0;1.0;2019-10-25 11:36:55.078762-04:00;134.73;72.73;89.0;83.84;7.0;97.98;78.28;PRODUCTIVE_PERSISTANCE;0.0;2.0;11.0;32.0;NA;80.5
e6af7d42084352a39449e6d0a09b18cd~2fc80637fca670560429037eb31234b6~Sugar Cones;e6af7d42084352a39449e6d0a09b18cd;2fc80637fca670560429037eb31234b6;Sugar Cones;0.085909;Advanced;1.0;1.0;2019-10-25 11:39:08.792985-04:00;95.49;79.46;54.0;87.5;2.0;89.29;83.48;PRODUCTIVE_PERSISTANCE;0.0;7.0;5.0;13.0;NA;45.26
e6af7d42084352a39449e6d0a09b18cd~2fc80637fca670560429037eb31234b6~Stranger Shapes;e6af7d42084352a39449e6d0a09b18cd;2fc80637fca670560429037eb31234b6;Stranger Shapes;0.283971;Advanced;1.0;1.0;2019-10-25 11:40:54.677407-04:00;170.81;31.33;92.0;36.14;7.0;65.06;33.73;NO_BEHAVIOR;0.0;2.0;3.0;37.0;NA;91.99
e6af7d42084352a39449e6d0a09b18cd~2fc80637fca670560429037eb31234b6~Tall and Small;e6af7d42084352a39449e6d0a09b18cd;2fc80637fca670560429037eb31234b6;Tall and Small;0.266869;Advanced;1.0;0.0;2019-10-25 11:43:39.491331-04:00;120.99;25.0;76.0;43.06;1.0;16.67;34.03;NO_BEHAVIOR;4.0;1.0;1.0;34.0;0;0
e6af7d42084352a39449e6d0a09b18cd~8cec40ccb0fb360dd8828fa1d8843528~Bird Fez;e6af7d42084352a39449e6d0a09b18cd;8cec40ccb0fb360dd8828fa1d8843528;Bird Fez;0.156674;Intermediate;3.0;1.0;2019-10-25 11:44:59.861844-04:00;1150.14;98.7;549.0;99.35;12.0;98.05;99.03;PRODUCTIVE_PERSISTANCE;7.0;7.0;162.0;140.0;NA;337.47
e6af7d42084352a39449e6d0a09b18cd~8cec40ccb0fb360dd8828fa1d8843528~Pi Henge;e6af7d42084352a39449e6d0a09b18cd;8cec40ccb0fb360dd8828fa1d8843528;Pi Henge;0.067346;Intermediate;1.0;1.0;2019-10-25 11:33:01.427962-04:00;84.63;44.16;43.0;47.4;1.0;64.29;45.78;NO_BEHAVIOR;0.0;0.0;2.0;16.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~8cec40ccb0fb360dd8828fa1d8843528~45-Degree Rotations;e6af7d42084352a39449e6d0a09b18cd;8cec40ccb0fb360dd8828fa1d8843528;45-Degree Rotations;0.096715;Intermediate;1.0;1.0;2019-10-25 11:34:18.075624-04:00;145.34;65.69;70.0;64.96;1.0;64.23;65.33;NO_BEHAVIOR;1.0;0.0;0.0;33.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~8cec40ccb0fb360dd8828fa1d8843528~Pyramids are Strange;e6af7d42084352a39449e6d0a09b18cd;8cec40ccb0fb360dd8828fa1d8843528;Pyramids are Strange;0.1796;Intermediate;1.0;1.0;2019-10-25 11:36:48.045487-04:00;98.77;21.26;63.0;37.8;1.0;32.28;29.53;NO_BEHAVIOR;0.0;0.0;1.0;27.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~8cec40ccb0fb360dd8828fa1d8843528~Boxes Obscure Spheres;e6af7d42084352a39449e6d0a09b18cd;8cec40ccb0fb360dd8828fa1d8843528;Boxes Obscure Spheres;0.266198;Intermediate;1.0;1.0;2019-10-25 11:38:27.395349-04:00;395.06;66.02;193.0;70.87;8.0;79.61;68.45;NO_BEHAVIOR;4.0;0.0;43.0;57.0;NA;201.48
e6af7d42084352a39449e6d0a09b18cd~8cec40ccb0fb360dd8828fa1d8843528~Object Limits;e6af7d42084352a39449e6d0a09b18cd;8cec40ccb0fb360dd8828fa1d8843528;Object Limits;0.257177;Intermediate;1.0;1.0;2019-10-25 11:46:44.338860-04:00;299.63;78.79;100.0;70.71;4.0;52.53;74.75;NO_BEHAVIOR;4.0;5.0;11.0;32.0;NA;155.36
e6af7d42084352a39449e6d0a09b18cd~8cec40ccb0fb360dd8828fa1d8843528~Warm Up;e6af7d42084352a39449e6d0a09b18cd;8cec40ccb0fb360dd8828fa1d8843528;Warm Up;0.183971;Advanced;1.0;1.0;2019-10-25 11:51:42.956603-04:00;57.89;74.56;22.0;68.42;1.0;88.6;71.49;NO_BEHAVIOR;1.0;0.0;0.0;6.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~8cec40ccb0fb360dd8828fa1d8843528~Angled Silhouette;e6af7d42084352a39449e6d0a09b18cd;8cec40ccb0fb360dd8828fa1d8843528;Angled Silhouette;0.147673;Intermediate;1.0;0.0;2019-10-25 11:52:36.372613-04:00;8.05;0.0;4.0;0.0;0.0;0.0;0.0;NON_PERSISTANT;0.0;0.0;0.0;0.0;0;0
e6af7d42084352a39449e6d0a09b18cd~5d483abb3f27510378f2b7672e83bc1e~Square Cross-Sections;e6af7d42084352a39449e6d0a09b18cd;5d483abb3f27510378f2b7672e83bc1e;Square Cross-Sections;0.199714;Intermediate;1.0;1.0;2019-10-24 10:04:53.587706-04:00;149.93;46.36;92.0;62.91;2.0;54.97;54.64;NO_BEHAVIOR;0.0;0.0;42.0;15.0;NA;71.44
e6af7d42084352a39449e6d0a09b18cd~5d483abb3f27510378f2b7672e83bc1e~Bird Fez;e6af7d42084352a39449e6d0a09b18cd;5d483abb3f27510378f2b7672e83bc1e;Bird Fez;0.156674;Intermediate;1.0;1.0;2019-10-24 10:07:23.337852-04:00;42.69;1.3;24.0;2.6;1.0;40.26;1.95;RAPID_SOLVER;0.0;0.0;4.0;5.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~5d483abb3f27510378f2b7672e83bc1e~Pi Henge;e6af7d42084352a39449e6d0a09b18cd;5d483abb3f27510378f2b7672e83bc1e;Pi Henge;0.067346;Intermediate;1.0;1.0;2019-10-24 10:08:05.306372-04:00;46.65;5.84;27.0;10.39;1.0;64.29;8.12;RAPID_SOLVER;0.0;0.0;0.0;12.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~5d483abb3f27510378f2b7672e83bc1e~45-Degree Rotations;e6af7d42084352a39449e6d0a09b18cd;5d483abb3f27510378f2b7672e83bc1e;45-Degree Rotations;0.096715;Intermediate;1.0;1.0;2019-10-24 10:08:51.476626-04:00;69.56;24.09;32.0;19.71;1.0;64.23;21.9;RAPID_SOLVER;0.0;0.0;0.0;13.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~5d483abb3f27510378f2b7672e83bc1e~Pyramids are Strange;e6af7d42084352a39449e6d0a09b18cd;5d483abb3f27510378f2b7672e83bc1e;Pyramids are Strange;0.1796;Intermediate;1.0;1.0;2019-10-24 10:10:03.417920-04:00;84.41;16.54;34.0;7.87;1.0;32.28;12.2;RAPID_SOLVER;0.0;0.0;1.0;11.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~5d483abb3f27510378f2b7672e83bc1e~Boxes Obscure Spheres;e6af7d42084352a39449e6d0a09b18cd;5d483abb3f27510378f2b7672e83bc1e;Boxes Obscure Spheres;0.266198;Intermediate;1.0;1.0;2019-10-24 10:11:29.087431-04:00;85.79;9.71;33.0;9.71;1.0;16.5;9.71;RAPID_SOLVER;0.0;0.0;6.0;12.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~5d483abb3f27510378f2b7672e83bc1e~Object Limits;e6af7d42084352a39449e6d0a09b18cd;5d483abb3f27510378f2b7672e83bc1e;Object Limits;0.257177;Intermediate;1.0;1.0;2019-10-24 10:12:53.903210-04:00;35.39;2.02;15.0;4.04;1.0;3.03;3.03;RAPID_SOLVER;0.0;0.0;0.0;5.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~5d483abb3f27510378f2b7672e83bc1e~Warm Up;e6af7d42084352a39449e6d0a09b18cd;5d483abb3f27510378f2b7672e83bc1e;Warm Up;0.183971;Advanced;1.0;1.0;2019-10-24 10:13:29.293387-04:00;52.79;64.91;22.0;68.42;1.0;88.6;66.67;NO_BEHAVIOR;0.0;0.0;1.0;6.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~5d483abb3f27510378f2b7672e83bc1e~Angled Silhouette;e6af7d42084352a39449e6d0a09b18cd;5d483abb3f27510378f2b7672e83bc1e;Angled Silhouette;0.147673;Intermediate;1.0;1.0;2019-10-24 10:14:23.138217-04:00;121.79;69.7;51.0;64.65;1.0;61.62;67.17;NO_BEHAVIOR;0.0;0.0;5.0;23.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~5d483abb3f27510378f2b7672e83bc1e~Sugar Cones;e6af7d42084352a39449e6d0a09b18cd;5d483abb3f27510378f2b7672e83bc1e;Sugar Cones;0.085909;Advanced;1.0;1.0;2019-10-24 10:16:23.461010-04:00;49.72;40.18;22.0;37.5;1.0;58.04;38.84;NO_BEHAVIOR;0.0;0.0;0.0;7.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~5d483abb3f27510378f2b7672e83bc1e~Stranger Shapes;e6af7d42084352a39449e6d0a09b18cd;5d483abb3f27510378f2b7672e83bc1e;Stranger Shapes;0.283971;Advanced;1.0;1.0;2019-10-24 10:17:12.720830-04:00;275.68;53.01;143.0;60.24;5.0;54.22;56.63;NO_BEHAVIOR;0.0;0.0;44.0;35.0;NA;133.99
e6af7d42084352a39449e6d0a09b18cd~5d483abb3f27510378f2b7672e83bc1e~Tall and Small;e6af7d42084352a39449e6d0a09b18cd;5d483abb3f27510378f2b7672e83bc1e;Tall and Small;0.266869;Advanced;1.0;1.0;2019-10-24 10:21:48.518164-04:00;237.44;56.94;116.0;63.89;7.0;79.17;60.42;NO_BEHAVIOR;0.0;1.0;22.0;29.0;NA;130.65
e6af7d42084352a39449e6d0a09b18cd~5d483abb3f27510378f2b7672e83bc1e~Ramp Up and Can It;e6af7d42084352a39449e6d0a09b18cd;5d483abb3f27510378f2b7672e83bc1e;Ramp Up and Can It;0.206271;Advanced;1.0;1.0;2019-10-24 10:25:45.625313-04:00;44.7;17.19;23.0;26.56;1.0;35.94;21.88;RAPID_SOLVER;0.0;0.0;7.0;4.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~5d483abb3f27510378f2b7672e83bc1e~More Than Meets Your Eye;e6af7d42084352a39449e6d0a09b18cd;5d483abb3f27510378f2b7672e83bc1e;More Than Meets Your Eye;0.192319;Advanced;2.0;1.0;2019-10-25 13:11:56.253445-04:00;789.33;96.77;400.0;95.16;1.0;48.39;95.97;PRODUCTIVE_PERSISTANCE;2.0;0.0;15.0;189.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~5d483abb3f27510378f2b7672e83bc1e~Not Bird;e6af7d42084352a39449e6d0a09b18cd;5d483abb3f27510378f2b7672e83bc1e;Not Bird;0.260197;Intermediate;1.0;0.0;2019-10-25 13:13:53.510235-04:00;178.77;50.88;78.0;45.61;4.0;64.91;48.25;NO_BEHAVIOR;0.0;0.0;7.0;17.0;116.2;88.62
e6af7d42084352a39449e6d0a09b18cd~5d483abb3f27510378f2b7672e83bc1e~Unnecessary;e6af7d42084352a39449e6d0a09b18cd;5d483abb3f27510378f2b7672e83bc1e;Unnecessary;0.76;Advanced;2.0;0.0;2019-10-25 13:17:33.523180-04:00;112.55;31.48;40.0;31.48;1.0;31.48;31.48;NO_BEHAVIOR;0.0;0.0;4.0;9.0;2.49;NA
e6af7d42084352a39449e6d0a09b18cd~5d483abb3f27510378f2b7672e83bc1e~Zzz;e6af7d42084352a39449e6d0a09b18cd;5d483abb3f27510378f2b7672e83bc1e;Zzz;0.234035;Advanced;1.0;0.0;2019-10-25 13:18:42.891934-04:00;10.38;0.0;5.0;0.0;0.0;0.0;0.0;NON_PERSISTANT;0.0;0.0;0.0;0.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~5d483abb3f27510378f2b7672e83bc1e~Bull Market;e6af7d42084352a39449e6d0a09b18cd;5d483abb3f27510378f2b7672e83bc1e;Bull Market;0.358579;Advanced;1.0;0.0;2019-10-25 13:18:53.310087-04:00;30.12;0.0;13.0;0.0;0.0;0.0;0.0;NON_PERSISTANT;0.0;0.0;0.0;4.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~5d483abb3f27510378f2b7672e83bc1e~Bear Market;e6af7d42084352a39449e6d0a09b18cd;5d483abb3f27510378f2b7672e83bc1e;Bear Market;1.0;Advanced;1.0;0.0;2019-10-25 13:19:23.407788-04:00;7.93;0.0;4.0;0.0;0.0;0.0;0.0;NON_PERSISTANT;0.0;0.0;0.0;0.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~5d483abb3f27510378f2b7672e83bc1e~Orange Dance;e6af7d42084352a39449e6d0a09b18cd;5d483abb3f27510378f2b7672e83bc1e;Orange Dance;0.647731;Advanced;1.0;0.0;2019-10-25 13:36:46.760001-04:00;6.43;0.0;4.0;0.0;0.0;0.0;0.0;NON_PERSISTANT;1.0;0.0;0.0;0.0;NA;NA
8cbfa61cb2b025b16b04a8e470422960~ce2264a639e01f4ca75a0c242fbafb09~Angled Silhouette;8cbfa61cb2b025b16b04a8e470422960;ce2264a639e01f4ca75a0c242fbafb09;Angled Silhouette;0.147673;Intermediate;1.0;0.0;2019-10-25 13:29:50.313077-04:00;259.83;84.85;106.0;85.86;1.0;61.62;85.35;NO_BEHAVIOR;1.0;0.0;50.0;31.0;1.64;NA
8cbfa61cb2b025b16b04a8e470422960~ce2264a639e01f4ca75a0c242fbafb09~Bear Market;8cbfa61cb2b025b16b04a8e470422960;ce2264a639e01f4ca75a0c242fbafb09;Bear Market;1.0;Advanced;1.0;0.0;2019-10-25 13:34:11.737488-04:00;649.13;25.0;302.0;0.0;2.0;0.0;12.5;NO_BEHAVIOR;0.0;0.0;84.0;122.0;13.04;317.15
8cbfa61cb2b025b16b04a8e470422960~ce2264a639e01f4ca75a0c242fbafb09~Zzz;8cbfa61cb2b025b16b04a8e470422960;ce2264a639e01f4ca75a0c242fbafb09;Zzz;0.234035;Advanced;1.0;0.0;2019-10-25 13:45:00.630266-04:00;299.86;81.63;200.0;91.84;4.0;91.84;86.73;NO_BEHAVIOR;0.0;0.0;84.0;54.0;162.56;125.99
8cbfa61cb2b025b16b04a8e470422960~ce2264a639e01f4ca75a0c242fbafb09~Not Bird;8cbfa61cb2b025b16b04a8e470422960;ce2264a639e01f4ca75a0c242fbafb09;Not Bird;0.260197;Intermediate;1.0;1.0;2019-10-25 13:49:59.960847-04:00;79.26;14.04;95.0;52.63;2.0;38.6;33.33;NO_BEHAVIOR;0.0;0.0;14.0;30.0;NA;38.1
8cbfa61cb2b025b16b04a8e470422960~ce2264a639e01f4ca75a0c242fbafb09~Orange Dance;8cbfa61cb2b025b16b04a8e470422960;ce2264a639e01f4ca75a0c242fbafb09;Orange Dance;0.647731;Advanced;1.0;0.0;2019-10-25 13:51:23.271420-04:00;222.73;0.0;130.0;8.33;0.0;0.0;4.17;NON_PERSISTANT;3.0;0.0;6.0;47.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~a0734c7ec07d25795ad022c40f9e6ad8~Unnecessary;e6af7d42084352a39449e6d0a09b18cd;a0734c7ec07d25795ad022c40f9e6ad8;Unnecessary;0.76;Advanced;1.0;0.0;2019-10-25 13:29:19.535429-04:00;283.72;72.22;131.0;74.07;0.0;0.0;73.15;NO_BEHAVIOR;1.0;0.0;6.0;82.0;NA;NA
8cbfa61cb2b025b16b04a8e470422960~f7ab47845da1e7938d6eacd273fff776~1. One Box;8cbfa61cb2b025b16b04a8e470422960;f7ab47845da1e7938d6eacd273fff776;1. One Box;2,00E-06;Tutorial;1.0;1.0;2019-10-24 12:59:18.757575-04:00;86.62;79.18;15.0;58.74;1.0;100.0;68.96;NO_BEHAVIOR;3.0;2.0;1.0;1.0;NA;NA
8cbfa61cb2b025b16b04a8e470422960~f7ab47845da1e7938d6eacd273fff776~2. Separated Boxes;8cbfa61cb2b025b16b04a8e470422960;f7ab47845da1e7938d6eacd273fff776;2. Separated Boxes;0.111127;Tutorial;1.0;1.0;2019-10-24 13:00:30.446621-04:00;58.88;37.45;20.0;38.25;1.0;31.47;37.85;NO_BEHAVIOR;0.0;1.0;5.0;5.0;NA;NA
8cbfa61cb2b025b16b04a8e470422960~f7ab47845da1e7938d6eacd273fff776~3. Rotate a Pyramid;8cbfa61cb2b025b16b04a8e470422960;f7ab47845da1e7938d6eacd273fff776;3. Rotate a Pyramid;0.083447;Tutorial;1.0;1.0;2019-10-24 13:01:32.455074-04:00;33.22;21.86;10.0;14.57;1.0;43.72;18.22;RAPID_SOLVER;0.0;1.0;0.0;2.0;NA;NA
8cbfa61cb2b025b16b04a8e470422960~f7ab47845da1e7938d6eacd273fff776~4. Match Silhouettes;8cbfa61cb2b025b16b04a8e470422960;f7ab47845da1e7938d6eacd273fff776;4. Match Silhouettes;0.061887;Tutorial;1.0;1.0;2019-10-24 13:02:06.562497-04:00;74.8;51.67;27.0;54.17;1.0;59.17;52.92;NO_BEHAVIOR;0.0;1.0;12.0;7.0;NA;NA
8cbfa61cb2b025b16b04a8e470422960~f7ab47845da1e7938d6eacd273fff776~5. Removing Objects;8cbfa61cb2b025b16b04a8e470422960;f7ab47845da1e7938d6eacd273fff776;5. Removing Objects;0.106021;Tutorial;1.0;1.0;2019-10-24 13:03:21.285970-04:00;52.44;23.42;12.0;7.21;1.0;50.9;15.32;RAPID_SOLVER;0.0;1.0;0.0;4.0;NA;NA
8cbfa61cb2b025b16b04a8e470422960~f7ab47845da1e7938d6eacd273fff776~6. Stretch a Ramp;8cbfa61cb2b025b16b04a8e470422960;f7ab47845da1e7938d6eacd273fff776;6. Stretch a Ramp;0.107035;Tutorial;1.0;1.0;2019-10-24 13:04:13.885126-04:00;86.57;39.45;29.0;31.19;3.0;80.28;35.32;NO_BEHAVIOR;0.0;3.0;4.0;10.0;NA;38.05
8cbfa61cb2b025b16b04a8e470422960~f7ab47845da1e7938d6eacd273fff776~7. Max 2 Boxes;8cbfa61cb2b025b16b04a8e470422960;f7ab47845da1e7938d6eacd273fff776;7. Max 2 Boxes;0.078039;Tutorial;1.0;1.0;2019-10-24 13:05:40.336500-04:00;63.01;56.25;23.0;50.0;1.0;61.54;53.12;NO_BEHAVIOR;0.0;1.0;5.0;6.0;NA;NA
8cbfa61cb2b025b16b04a8e470422960~f7ab47845da1e7938d6eacd273fff776~8. Combine 2 Ramps;8cbfa61cb2b025b16b04a8e470422960;f7ab47845da1e7938d6eacd273fff776;8. Combine 2 Ramps;0.068608;Tutorial;1.0;1.0;2019-10-24 13:06:42.721345-04:00;63.77;36.65;25.0;24.08;1.0;72.77;30.37;NO_BEHAVIOR;0.0;1.0;3.0;12.0;NA;NA
8cbfa61cb2b025b16b04a8e470422960~f7ab47845da1e7938d6eacd273fff776~9. Scaling Round Objects;8cbfa61cb2b025b16b04a8e470422960;f7ab47845da1e7938d6eacd273fff776;9. Scaling Round Objects;0.128647;Tutorial;1.0;1.0;2019-10-24 13:07:46.529242-04:00;111.88;52.27;45.0;46.02;1.0;43.75;49.15;NO_BEHAVIOR;0.0;1.0;11.0;17.0;NA;NA
8cbfa61cb2b025b16b04a8e470422960~f7ab47845da1e7938d6eacd273fff776~Square Cross-Sections;8cbfa61cb2b025b16b04a8e470422960;f7ab47845da1e7938d6eacd273fff776;Square Cross-Sections;0.199714;Intermediate;2.0;1.0;2019-10-24 13:12:23.773449-04:00;218.67;60.93;65.0;49.67;2.0;54.97;55.3;NO_BEHAVIOR;2.0;2.0;15.0;14.0;NA;21.71
8cbfa61cb2b025b16b04a8e470422960~f7ab47845da1e7938d6eacd273fff776~Bird Fez;8cbfa61cb2b025b16b04a8e470422960;f7ab47845da1e7938d6eacd273fff776;Bird Fez;0.156674;Intermediate;1.0;1.0;2019-10-24 13:13:16.287624-04:00;114.67;31.17;50.0;33.77;1.0;40.26;32.47;NO_BEHAVIOR;0.0;1.0;10.0;21.0;NA;NA
8cbfa61cb2b025b16b04a8e470422960~f7ab47845da1e7938d6eacd273fff776~Pi Henge;8cbfa61cb2b025b16b04a8e470422960;f7ab47845da1e7938d6eacd273fff776;Pi Henge;0.067346;Intermediate;1.0;1.0;2019-10-24 13:15:11.039439-04:00;120.23;58.44;57.0;61.69;1.0;64.29;60.06;NO_BEHAVIOR;0.0;1.0;15.0;21.0;NA;NA
8cbfa61cb2b025b16b04a8e470422960~f7ab47845da1e7938d6eacd273fff776~45-Degree Rotations;8cbfa61cb2b025b16b04a8e470422960;f7ab47845da1e7938d6eacd273fff776;45-Degree Rotations;0.096715;Intermediate;1.0;1.0;2019-10-24 13:17:09.802710-04:00;275.41;83.21;115.0;81.75;2.0;81.02;82.48;PRODUCTIVE_PERSISTANCE;1.0;1.0;24.0;61.0;NA;133.81
8cbfa61cb2b025b16b04a8e470422960~f7ab47845da1e7938d6eacd273fff776~Pyramids are Strange;8cbfa61cb2b025b16b04a8e470422960;f7ab47845da1e7938d6eacd273fff776;Pyramids are Strange;0.1796;Intermediate;1.0;1.0;2019-10-24 13:21:45.675101-04:00;67.97;7.09;25.0;1.57;1.0;32.28;4.33;RAPID_SOLVER;0.0;1.0;1.0;9.0;NA;NA
8cbfa61cb2b025b16b04a8e470422960~f7ab47845da1e7938d6eacd273fff776~Boxes Obscure Spheres;8cbfa61cb2b025b16b04a8e470422960;f7ab47845da1e7938d6eacd273fff776;Boxes Obscure Spheres;0.266198;Intermediate;2.0;0.0;2019-10-24 13:57:47.038912-04:00;600.66;80.58;203.0;75.73;1.0;16.5;78.16;NO_BEHAVIOR;8.0;4.0;49.0;56.0;3.14;NA
8cbfa61cb2b025b16b04a8e470422960~f7ab47845da1e7938d6eacd273fff776~Object Limits;8cbfa61cb2b025b16b04a8e470422960;f7ab47845da1e7938d6eacd273fff776;Object Limits;0.257177;Intermediate;1.0;1.0;2019-10-24 13:31:22.241204-04:00;165.1;52.53;38.0;29.29;4.0;52.53;40.91;NO_BEHAVIOR;2.0;1.0;4.0;13.0;NA;85.43
8cbfa61cb2b025b16b04a8e470422960~f7ab47845da1e7938d6eacd273fff776~Warm Up;8cbfa61cb2b025b16b04a8e470422960;f7ab47845da1e7938d6eacd273fff776;Warm Up;0.183971;Advanced;1.0;1.0;2019-10-24 13:33:52.790262-04:00;41.52;52.63;24.0;71.05;1.0;88.6;61.84;NO_BEHAVIOR;0.0;0.0;5.0;10.0;NA;NA
8cbfa61cb2b025b16b04a8e470422960~f7ab47845da1e7938d6eacd273fff776~Angled Silhouette;8cbfa61cb2b025b16b04a8e470422960;f7ab47845da1e7938d6eacd273fff776;Angled Silhouette;0.147673;Intermediate;1.0;0.0;2019-10-24 13:49:53.396244-04:00;853.01;98.99;290.0;95.96;7.0;97.98;97.47;UNPRODUCTIVE_PERSISTANCE;5.0;11.0;44.0;135.0;552.91;404.09
e6af7d42084352a39449e6d0a09b18cd~48e2fa8526344763b562fc7318987b5f~1. One Box;e6af7d42084352a39449e6d0a09b18cd;48e2fa8526344763b562fc7318987b5f;1. One Box;2,00E-06;Tutorial;1.0;1.0;2019-10-25 09:04:37.478629-04:00;13.5;4.83;8.0;30.48;1.0;100.0;17.66;RAPID_SOLVER;0.0;0.0;0.0;1.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~48e2fa8526344763b562fc7318987b5f~2. Separated Boxes;e6af7d42084352a39449e6d0a09b18cd;48e2fa8526344763b562fc7318987b5f;2. Separated Boxes;0.111127;Tutorial;1.0;0.0;2019-10-25 09:04:49.072731-04:00;30.58;8.76;9.0;0.0;1.0;31.47;4.38;NON_PERSISTANT;0.0;0.0;0.0;2.0;6.15;NA
e6af7d42084352a39449e6d0a09b18cd~48e2fa8526344763b562fc7318987b5f~Ramp Up and Can It;e6af7d42084352a39449e6d0a09b18cd;48e2fa8526344763b562fc7318987b5f;Ramp Up and Can It;0.206271;Advanced;1.0;1.0;2019-10-25 09:05:21.461827-04:00;124.93;42.19;42.0;45.31;3.0;64.06;43.75;NO_BEHAVIOR;0.0;4.0;13.0;6.0;NA;70.05
e6af7d42084352a39449e6d0a09b18cd~48e2fa8526344763b562fc7318987b5f~More Than Meets Your Eye;e6af7d42084352a39449e6d0a09b18cd;48e2fa8526344763b562fc7318987b5f;More Than Meets Your Eye;0.192319;Advanced;1.0;1.0;2019-10-25 09:13:23.403739-04:00;472.77;82.26;262.0;83.87;3.0;87.1;83.06;PRODUCTIVE_PERSISTANCE;4.0;15.0;26.0;106.0;NA;83.66
e6af7d42084352a39449e6d0a09b18cd~48e2fa8526344763b562fc7318987b5f~Bear Market;e6af7d42084352a39449e6d0a09b18cd;48e2fa8526344763b562fc7318987b5f;Bear Market;1.0;Advanced;1.0;0.0;2019-10-25 09:15:25.045819-04:00;13.02;0.0;4.0;0.0;0.0;0.0;0.0;NON_PERSISTANT;0.0;0.0;0.0;0.0;NA;NA
