;param_alpha;param_class_weight;param_eta0;param_fit_intercept;param_l1_ratio;param_learning_rate;param_loss;param_max_iter;param_penalty;param_tol;mean_test_score;std_test_score;mean_train_score;std_train_score
1137;0.0001;;0.1;False;0.3;optimal;log;2000;l1;0.001;0.7143859229682403;0.05691260475014013;0.731422364929201;0.03346919392484298
1677;0.0001;;1.0;False;0.15;optimal;log;2000;l1;0.001;0.7143859229682403;0.05691260475014013;0.731422364929201;0.03346919392484298
482;0.0001;;0.01;False;0.3;optimal;log;1000;l1;0.0001;0.7143859229682403;0.05691260475014013;0.731422364929201;0.03346919392484298
1136;0.0001;;0.1;False;0.3;optimal;log;2000;l1;0.0001;0.7143859229682403;0.05691260475014013;0.731422364929201;0.03346919392484298
483;0.0001;;0.01;False;0.3;optimal;log;1000;l1;0.001;0.7143859229682403;0.05691260475014013;0.731422364929201;0.03346919392484298
1029;0.0001;;0.1;False;0.15;optimal;log;2000;l1;0.001;0.7143859229682403;0.05691260475014013;0.731422364929201;0.03346919392484298
1671;0.0001;;1.0;False;0.15;optimal;log;1000;l1;0.001;0.7143859229682403;0.05691260475014013;0.731422364929201;0.03346919392484298
1670;0.0001;;1.0;False;0.15;optimal;log;1000;l1;0.0001;0.7143859229682403;0.05691260475014013;0.731422364929201;0.03346919392484298
1893;0.0001;;1.0;False;0.5;optimal;log;2000;l1;0.001;0.7143859229682403;0.05691260475014013;0.731422364929201;0.03346919392484298
488;0.0001;;0.01;False;0.3;optimal;log;2000;l1;0.0001;0.7143859229682403;0.05691260475014013;0.731422364929201;0.03346919392484298
590;0.0001;;0.01;False;0.5;optimal;log;1000;l1;0.0001;0.7143859229682403;0.05691260475014013;0.731422364929201;0.03346919392484298
1244;0.0001;;0.1;False;0.5;optimal;log;2000;l1;0.0001;0.7143859229682403;0.05691260475014013;0.731422364929201;0.03346919392484298
591;0.0001;;0.01;False;0.5;optimal;log;1000;l1;0.001;0.7143859229682403;0.05691260475014013;0.731422364929201;0.03346919392484298
1784;0.0001;;1.0;False;0.3;optimal;log;2000;l1;0.0001;0.7143859229682403;0.05691260475014013;0.731422364929201;0.03346919392484298
1892;0.0001;;1.0;False;0.5;optimal;log;2000;l1;0.0001;0.7143859229682403;0.05691260475014013;0.731422364929201;0.03346919392484298
1887;0.0001;;1.0;False;0.5;optimal;log;1000;l1;0.001;0.7143859229682403;0.05691260475014013;0.731422364929201;0.03346919392484298
1886;0.0001;;1.0;False;0.5;optimal;log;1000;l1;0.0001;0.7143859229682403;0.05691260475014013;0.731422364929201;0.03346919392484298
1022;0.0001;;0.1;False;0.15;optimal;log;1000;l1;0.0001;0.7143859229682403;0.05691260475014013;0.731422364929201;0.03346919392484298
1023;0.0001;;0.1;False;0.15;optimal;log;1000;l1;0.001;0.7143859229682403;0.05691260475014013;0.731422364929201;0.03346919392484298
1239;0.0001;;0.1;False;0.5;optimal;log;1000;l1;0.001;0.7143859229682403;0.05691260475014013;0.731422364929201;0.03346919392484298
1785;0.0001;;1.0;False;0.3;optimal;log;2000;l1;0.001;0.7143859229682403;0.05691260475014013;0.731422364929201;0.03346919392484298
1028;0.0001;;0.1;False;0.15;optimal;log;2000;l1;0.0001;0.7143859229682403;0.05691260475014013;0.731422364929201;0.03346919392484298
1779;0.0001;;1.0;False;0.3;optimal;log;1000;l1;0.001;0.7143859229682403;0.05691260475014013;0.731422364929201;0.03346919392484298
1778;0.0001;;1.0;False;0.3;optimal;log;1000;l1;0.0001;0.7143859229682403;0.05691260475014013;0.731422364929201;0.03346919392484298
1130;0.0001;;0.1;False;0.3;optimal;log;1000;l1;0.0001;0.7143859229682403;0.05691260475014013;0.731422364929201;0.03346919392484298
1131;0.0001;;0.1;False;0.3;optimal;log;1000;l1;0.001;0.7143859229682403;0.05691260475014013;0.731422364929201;0.03346919392484298
597;0.0001;;0.01;False;0.5;optimal;log;2000;l1;0.001;0.7143859229682403;0.05691260475014013;0.731422364929201;0.03346919392484298
596;0.0001;;0.01;False;0.5;optimal;log;2000;l1;0.0001;0.7143859229682403;0.05691260475014013;0.731422364929201;0.03346919392484298
1238;0.0001;;0.1;False;0.5;optimal;log;1000;l1;0.0001;0.7143859229682403;0.05691260475014013;0.731422364929201;0.03346919392484298
489;0.0001;;0.01;False;0.3;optimal;log;2000;l1;0.001;0.7143859229682403;0.05691260475014013;0.731422364929201;0.03346919392484298
7214;0.001;balanced;1.0;True;0.15;invscaling;log;1000;l1;0.0001;0.7126319779927874;0.06710264343556784;0.7263565333433151;0.049823499871743726
7215;0.001;balanced;1.0;True;0.15;invscaling;log;1000;l1;0.001;0.7126319779927874;0.06710264343556784;0.7263565333433151;0.049823499871743726
7220;0.001;balanced;1.0;True;0.15;invscaling;log;2000;l1;0.0001;0.7126319779927874;0.06710264343556784;0.7263565333433151;0.049823499871743726
7221;0.001;balanced;1.0;True;0.15;invscaling;log;2000;l1;0.001;0.7126319779927874;0.06710264343556784;0.7263565333433151;0.049823499871743726
7328;0.001;balanced;1.0;True;0.3;invscaling;log;2000;l1;0.0001;0.7126319779927874;0.06710264343556784;0.7263565333433151;0.049823499871743726
7437;0.001;balanced;1.0;True;0.5;invscaling;log;2000;l1;0.001;0.7126319779927874;0.06710264343556784;0.7263565333433151;0.049823499871743726
7436;0.001;balanced;1.0;True;0.5;invscaling;log;2000;l1;0.0001;0.7126319779927874;0.06710264343556784;0.7263565333433151;0.049823499871743726
