;param_activation;param_alpha;param_early_stopping;param_hidden_layer_sizes;param_learning_rate;param_max_iter;param_solver;mean_test_score;std_test_score;mean_train_score;std_train_score
425;logistic;0.01;False;(50, 100, 50);constant;1000;adam;0.7652996096218463;0.022558734394154643;0.9310936134848316;0.01714896209186778
431;logistic;0.01;False;(50, 100, 50);adaptive;1000;adam;0.7652996096218463;0.022558734394154643;0.9310936134848316;0.01714896209186778
423;logistic;0.01;False;(50, 100, 50);constant;500;adam;0.7652996096218463;0.022558734394154643;0.9310936134848316;0.01714896209186778
429;logistic;0.01;False;(50, 100, 50);adaptive;500;adam;0.7652996096218463;0.022558734394154643;0.9310936134848316;0.01714896209186778
61;relu;0.0001;False;(50, 100, 50);constant;200;adam;0.7650393003892596;0.02702616862773946;0.9165386986938453;0.01659396545874544
67;relu;0.0001;False;(50, 100, 50);adaptive;200;adam;0.7650393003892596;0.02702616862773946;0.9165386986938453;0.01659396545874544
257;logistic;0.0001;False;(100,);constant;1000;adam;0.7648030754129804;0.0356967717193448;0.9711009094871687;0.01704950446528158
263;logistic;0.0001;False;(100,);adaptive;1000;adam;0.7648030754129804;0.0356967717193448;0.9711009094871687;0.01704950446528158
283;logistic;0.0001;False;(50, 100, 50);adaptive;200;adam;0.7647622291821865;0.03211379047113491;0.9140856403012837;0.009780341710997627
277;logistic;0.0001;False;(50, 100, 50);constant;200;adam;0.7647622291821865;0.03211379047113491;0.9140856403012837;0.009780341710997627
355;logistic;0.001;False;(50, 100, 50);adaptive;200;adam;0.7644240680171668;0.034626564453156046;0.9127454176584395;0.009531894634252917
349;logistic;0.001;False;(50, 100, 50);constant;200;adam;0.7644240680171668;0.034626564453156046;0.9127454176584395;0.009531894634252917
339;logistic;0.001;False;(50, 50);constant;500;adam;0.7635153173883401;0.035655276393766394;0.9507421923372761;0.018401540253782475
345;logistic;0.001;False;(50, 50);adaptive;500;adam;0.7635153173883401;0.035655276393766394;0.9507421923372761;0.018401540253782475
353;logistic;0.001;False;(50, 100, 50);constant;1000;adam;0.7633437906796624;0.028740554667194454;0.9345621332402134;0.01580453735814825
357;logistic;0.001;False;(50, 100, 50);adaptive;500;adam;0.7633437906796624;0.028740554667194454;0.9345621332402134;0.01580453735814825
351;logistic;0.001;False;(50, 100, 50);constant;500;adam;0.7633437906796624;0.028740554667194454;0.9345621332402134;0.01580453735814825
359;logistic;0.001;False;(50, 100, 50);adaptive;1000;adam;0.7633437906796624;0.028740554667194454;0.9345621332402134;0.01580453735814825
329;logistic;0.001;False;(100,);constant;1000;adam;0.7624760438250713;0.03354053483503875;0.9609705048031845;0.021271405740905743
335;logistic;0.001;False;(100,);adaptive;1000;adam;0.7624760438250713;0.03354053483503875;0.9609705048031845;0.021271405740905743
153;relu;0.01;True;(100,);adaptive;500;adam;0.7613891497288199;0.050179035051682024;0.8116561668577074;0.01871181591524351
155;relu;0.01;True;(100,);adaptive;1000;adam;0.7613891497288199;0.050179035051682024;0.8116561668577074;0.01871181591524351
147;relu;0.01;True;(100,);constant;500;adam;0.7613891497288199;0.050179035051682024;0.8116561668577074;0.01871181591524351
145;relu;0.01;True;(100,);constant;200;adam;0.7613891497288199;0.050179035051682024;0.8116561668577074;0.01871181591524351
