;param_bootstrap;param_class_weight;param_criterion;param_max_depth;param_max_features;param_min_samples_leaf;param_min_samples_split;param_n_estimators;mean_test_score;std_test_score;mean_train_score;std_train_score
1523;False;balanced;gini;;log2;2;2;300;0.7544644893148437;0.059720186060416576;0.9740637286905628;0.0011191434720747991
547;True;balanced;gini;;log2;1;10;200;0.7543828463919735;0.06476606817738993;0.9313685294739263;0.0034067655950160004
745;True;balanced;entropy;;auto;2;10;200;0.754130941673796;0.06988826780052992;0.9140437680942121;0.004143319030647507
772;True;balanced;entropy;;sqrt;2;10;200;0.754130941673796;0.06988826780052992;0.9140437680942121;0.004143319030647507
1663;False;balanced;gini;10;sqrt;2;10;200;0.754101681681064;0.07754913027984674;0.8675014034532913;0.005512104671304747
1636;False;balanced;gini;10;auto;2;10;200;0.754101681681064;0.07754913027984674;0.8675014034532913;0.005512104671304747
1686;False;balanced;gini;10;log2;2;5;100;0.7540674236696254;0.07629451861816512;0.8635632776683766;0.005183267268502344
1871;False;balanced;entropy;10;auto;1;10;300;0.7540337242820716;0.07866330072797535;0.8652545190481122;0.005096800820539313
1898;False;balanced;entropy;10;sqrt;1;10;300;0.7540337242820716;0.07866330072797535;0.8652545190481122;0.005096800820539313
656;True;balanced;gini;10;auto;1;10;300;0.7540208839192036;0.07566850218282198;0.8581038498685535;0.005201320964380053
683;True;balanced;gini;10;sqrt;1;10;300;0.7540208839192036;0.07566850218282198;0.8581038498685535;0.005201320964380053
503;True;balanced;gini;;auto;2;10;300;0.7540024302100028;0.06629239835908303;0.9117115719653853;0.0034890499607064026
530;True;balanced;gini;;sqrt;2;10;300;0.7540024302100028;0.06629239835908303;0.9117115719653853;0.0034890499607064026
1769;False;balanced;entropy;;log2;2;5;300;0.7539810028432081;0.06420094995395054;0.9705619441367528;0.002762482516475476
1741;False;balanced;entropy;;sqrt;2;5;200;0.7539722253704626;0.06014301941802515;0.9758835405772274;0.002229170334708256
1714;False;balanced;entropy;;auto;2;5;200;0.7539722253704626;0.06014301941802515;0.9758835405772274;0.002229170334708256
1681;False;balanced;gini;10;log2;1;10;200;0.7537590553431546;0.07676534964744293;0.8662963571822546;0.004883510802297423
1678;False;balanced;gini;10;log2;1;5;200;0.7537442477493854;0.07740966736121321;0.8762217064418596;0.004685510535538924
504;True;balanced;gini;;auto;4;2;100;0.7536832153386734;0.07222655324266115;0.8858504813374204;0.005350278014366648
534;True;balanced;gini;;sqrt;4;5;100;0.7536832153386734;0.07222655324266115;0.8858504813374204;0.005350278014366648
507;True;balanced;gini;;auto;4;5;100;0.7536832153386734;0.07222655324266115;0.8858504813374204;0.005350278014366648
531;True;balanced;gini;;sqrt;4;2;100;0.7536832153386734;0.07222655324266115;0.8858504813374204;0.005350278014366648
1492;False;balanced;gini;;sqrt;1;10;200;0.7536525719009054;0.05627979944287395;0.9745342919891631;0.0014887089951152951
1465;False;balanced;gini;;auto;1;10;200;0.7536525719009054;0.05627979944287395;0.9745342919891631;0.0014887089951152951
1653;False;balanced;gini;10;sqrt;1;10;100;0.7536361219785048;0.08233968536461242;0.8720117098428481;0.004886233967701909
1626;False;balanced;gini;10;auto;1;10;100;0.7536361219785048;0.08233968536461242;0.8720117098428481;0.004886233967701909
557;True;balanced;gini;;log2;2;10;300;0.7536237197615901;0.0682358289637413;0.9050745017692019;0.003940732258313834
754;True;balanced;entropy;;auto;4;10;200;0.7535569520300476;0.07815816602059046;0.8852340747267242;0.006105615789510707
781;True;balanced;entropy;;sqrt;4;10;200;0.7535569520300476;0.07815816602059046;0.8852340747267242;0.006105615789510707
1631;False;balanced;gini;10;auto;2;2;300;0.7534061517258446;0.07919515350167436;0.8762932491118607;0.005068175238552353
1658;False;balanced;gini;10;sqrt;2;2;300;0.7534061517258446;0.07919515350167436;0.8762932491118607;0.005068175238552353
554;True;balanced;gini;;log2;2;5;300;0.7531933798274596;0.06711777296992329;0.9288937069801209;0.002468714769036452
705;True;balanced;gini;10;log2;1;5;100;0.7531853666480095;0.07716042105021946;0.859470349299072;0.005238205135157567
1864;False;balanced;entropy;10;auto;1;2;200;0.753176931966252;0.07681869863062338;0.8826107992470726;0.00522550789836697
1891;False;balanced;entropy;10;sqrt;1;2;200;0.753176931966252;0.07681869863062338;0.8826107992470726;0.00522550789836697
1660;False;balanced;gini;10;sqrt;2;5;200;0.7531738907374802;0.07924039894976496;0.875276396785728;0.004306653596856307
1633;False;balanced;gini;10;auto;2;5;200;0.7531738907374802;0.07924039894976496;0.875276396785728;0.004306653596856307
1911;False;balanced;entropy;10;sqrt;4;5;100;0.7530619209282804;0.07880197428789382;0.8510907805784935;0.005009393768091625
1884;False;balanced;entropy;10;auto;4;5;100;0.7530619209282804;0.07880197428789382;0.8510907805784935;0.005009393768091625
1908;False;balanced;entropy;10;sqrt;4;2;100;0.7530619209282804;0.07880197428789382;0.8510907805784935;0.005009393768091625
1881;False;balanced;entropy;10;auto;4;2;100;0.7530619209282804;0.07880197428789382;0.8510907805784935;0.005009393768091625
1905;False;balanced;entropy;10;sqrt;2;10;100;0.7530189102615121;0.08042889508728626;0.8602003731358024;0.005192074675049921
1878;False;balanced;entropy;10;auto;2;10;100;0.7530189102615121;0.08042889508728626;0.8602003731358024;0.005192074675049921
953;True;balanced;entropy;10;log2;1;10;300;0.7530091337903808;0.07922862714578628;0.8474762833360057;0.004621895216318771
737;True;balanced;entropy;;auto;1;10;300;0.7530040700531868;0.06309786329990397;0.9370980789302393;0.0024936595616597214
764;True;balanced;entropy;;sqrt;1;10;300;0.7530040700531868;0.06309786329990397;0.9370980789302393;0.0024936595616597214
1921;False;balanced;entropy;10;log2;1;5;200;0.7529171818363428;0.077355154701751;0.8690444647888704;0.004755361174811438
780;True;balanced;entropy;;sqrt;4;10;100;0.7529154665781731;0.07556752303821697;0.8829107246345542;0.004583266733989593
753;True;balanced;entropy;;auto;4;10;100;0.7529154665781731;0.07556752303821697;0.8829107246345542;0.004583266733989593
1738;False;balanced;entropy;;sqrt;2;2;200;0.7528938393252655;0.058984857222112566;0.9786572394672299;0.0015013933165551813
1711;False;balanced;entropy;;auto;2;2;200;0.7528938393252655;0.058984857222112566;0.9786572394672299;0.0015013933165551813
1736;False;balanced;entropy;;sqrt;1;10;300;0.7528882948300857;0.05261023402767936;0.9776888299944562;0.0018423652064549307
1709;False;balanced;entropy;;auto;1;10;300;0.7528882948300857;0.05261023402767936;0.9776888299944562;0.0018423652064549307
1656;False;balanced;gini;10;sqrt;2;2;100;0.7528692219702571;0.07949618136981634;0.8737613423941599;0.0038831320266308838
1629;False;balanced;gini;10;auto;2;2;100;0.7528692219702571;0.07949618136981634;0.8737613423941599;0.0038831320266308838
566;True;balanced;gini;;log2;4;10;300;0.7528384409279221;0.07290692135593754;0.8741944246746222;0.005994034587512275
1671;False;balanced;gini;10;sqrt;4;10;100;0.752813185509138;0.07912777508771275;0.8569317443199959;0.003938480767560937
1644;False;balanced;gini;10;auto;4;10;100;0.752813185509138;0.07912777508771275;0.8569317443199959;0.003938480767560937
526;True;balanced;gini;;sqrt;2;5;200;0.75278131139107;0.07015586504413211;0.9335946199651193;0.0022369736747265903
499;True;balanced;gini;;auto;2;5;200;0.75278131139107;0.07015586504413211;0.9335946199651193;0.0022369736747265903
565;True;balanced;gini;;log2;4;10;200;0.7527644642793964;0.0728515341829425;0.8734784343179838;0.006944636739988628
1909;False;balanced;entropy;10;sqrt;4;2;200;0.7527451419062225;0.08056038138230898;0.854163607997703;0.0053867659077959365
1882;False;balanced;entropy;10;auto;4;2;200;0.7527451419062225;0.08056038138230898;0.854163607997703;0.0053867659077959365
1885;False;balanced;entropy;10;auto;4;5;200;0.7527451419062225;0.08056038138230898;0.854163607997703;0.0053867659077959365
1912;False;balanced;entropy;10;sqrt;4;5;200;0.7527451419062225;0.08056038138230898;0.854163607997703;0.0053867659077959365
1872;False;balanced;entropy;10;auto;2;2;100;0.7526679589346588;0.07807300220160193;0.8664572210891353;0.005393096406358583
1899;False;balanced;entropy;10;sqrt;2;2;100;0.7526679589346588;0.07807300220160193;0.8664572210891353;0.005393096406358583
522;True;balanced;gini;;sqrt;2;2;100;0.7526550808546105;0.06471828326668023;0.9371102684880566;0.0022685145151104887
495;True;balanced;gini;;auto;2;2;100;0.7526550808546105;0.06471828326668023;0.9371102684880566;0.0022685145151104887
1522;False;balanced;gini;;log2;2;2;200;0.7526133363874844;0.058433269070339244;0.9740804711744502;0.0012851745104966413
1892;False;balanced;entropy;10;sqrt;1;2;300;0.7525885461218643;0.07609431520048876;0.8818628907679982;0.006099964862225776
1865;False;balanced;entropy;10;auto;1;2;300;0.7525885461218643;0.07609431520048876;0.8818628907679982;0.006099964862225776
1525;False;balanced;gini;;log2;2;5;200;0.7525529699943653;0.05803277373522105;0.9695267880344192;0.0019898309969298834
1526;False;balanced;gini;;log2;2;5;300;0.7525311819620255;0.05712920467228761;0.9692825694648388;0.0017085357450904797
549;True;balanced;gini;;log2;2;2;100;0.7525122358219479;0.072902818153879;0.9311360163257401;0.003440426509095408
1920;False;balanced;entropy;10;log2;1;5;100;0.7524834022805831;0.07732641822508085;0.867026122431256;0.004485540078729682
1768;False;balanced;entropy;;log2;2;5;200;0.7524736136450463;0.05988586047844583;0.9703085334804105;0.002339139567472823
1889;False;balanced;entropy;10;auto;4;10;300;0.7523991386610541;0.0791502370332545;0.8521655776057484;0.004587067362364494
1916;False;balanced;entropy;10;sqrt;4;10;300;0.7523991386610541;0.0791502370332545;0.8521655776057484;0.004587067362364494
1913;False;balanced;entropy;10;sqrt;4;5;300;0.7523831111045862;0.08226486294638972;0.853798429883153;0.005368952991336889
1886;False;balanced;entropy;10;auto;4;5;300;0.7523831111045862;0.08226486294638972;0.853798429883153;0.005368952991336889
