;param_algorithm;param_leaf_size;param_metric;param_n_neighbors;param_p;param_weights;mean_test_score;std_test_score;mean_train_score;std_train_score
46;auto;40;manhattan;7;2;uniform;0.6552458562091538;0.07557410217050922;0.7588158103680409;0.007788778294754449
44;auto;40;manhattan;7;1;uniform;0.6552458562091538;0.07557410217050922;0.7588158103680409;0.007788778294754449
20;auto;30;manhattan;7;1;uniform;0.6552458562091538;0.07557410217050922;0.7588158103680409;0.007788778294754449
22;auto;30;manhattan;7;2;uniform;0.6552458562091538;0.07557410217050922;0.7588158103680409;0.007788778294754449
142;ball_tree;50;manhattan;7;2;uniform;0.6543981171002284;0.07609537574229487;0.7591079195244881;0.007902402519657136
140;ball_tree;50;manhattan;7;1;uniform;0.6543981171002284;0.07609537574229487;0.7591079195244881;0.007902402519657136
116;ball_tree;40;manhattan;7;1;uniform;0.6541677023536846;0.07628530817264047;0.7591474080986511;0.008054878326957662
92;ball_tree;30;manhattan;7;1;uniform;0.6541677023536846;0.07628530817264047;0.7591474080986511;0.008054878326957662
118;ball_tree;40;manhattan;7;2;uniform;0.6541677023536846;0.07628530817264047;0.7591474080986511;0.008054878326957662
94;ball_tree;30;manhattan;7;2;uniform;0.6541677023536846;0.07628530817264047;0.7591474080986511;0.008054878326957662
190;kd_tree;40;manhattan;7;2;uniform;0.6540240241927651;0.07616676392599935;0.7592082629893873;0.0077287237725458535
214;kd_tree;50;manhattan;7;2;uniform;0.6540240241927651;0.07616676392599935;0.7591750787747784;0.007965331297775859
188;kd_tree;40;manhattan;7;1;uniform;0.6540240241927651;0.07616676392599935;0.7592082629893873;0.0077287237725458535
212;kd_tree;50;manhattan;7;1;uniform;0.6540240241927651;0.07616676392599935;0.7591750787747784;0.007965331297775859
166;kd_tree;30;manhattan;7;2;uniform;0.6540240241927651;0.07616676392599935;0.7592082629893873;0.0077287237725458535
164;kd_tree;30;manhattan;7;1;uniform;0.6540240241927651;0.07616676392599935;0.7592082629893873;0.0077287237725458535
201;kd_tree;50;euclidean;7;1;distance;0.6508910152227706;0.05937614680348784;0.995950635832403;0.0003045478673218769
57;auto;50;euclidean;7;1;distance;0.6508910152227706;0.05937614680348784;0.995950635832403;0.0003045478673218769
203;kd_tree;50;euclidean;7;2;distance;0.6508910152227706;0.05937614680348784;0.995950635832403;0.0003045478673218769
59;auto;50;euclidean;7;2;distance;0.6508910152227706;0.05937614680348784;0.995950635832403;0.0003045478673218769
83;ball_tree;30;euclidean;7;2;distance;0.6508910152227706;0.05937614680348784;0.995950635832403;0.0003045478673218769
131;ball_tree;50;euclidean;7;2;distance;0.6508910152227706;0.05937614680348784;0.995950635832403;0.0003045478673218769
9;auto;30;euclidean;7;1;distance;0.6508910152227706;0.05937614680348784;0.995950635832403;0.0003045478673218769
153;kd_tree;30;euclidean;7;1;distance;0.6508910152227706;0.05937614680348784;0.995950635832403;0.0003045478673218769
11;auto;30;euclidean;7;2;distance;0.6508910152227706;0.05937614680348784;0.995950635832403;0.0003045478673218769
179;kd_tree;40;euclidean;7;2;distance;0.6508910152227706;0.05937614680348784;0.995950635832403;0.0003045478673218769
129;ball_tree;50;euclidean;7;1;distance;0.6508910152227706;0.05937614680348784;0.995950635832403;0.0003045478673218769
177;kd_tree;40;euclidean;7;1;distance;0.6508910152227706;0.05937614680348784;0.995950635832403;0.0003045478673218769
105;ball_tree;40;euclidean;7;1;distance;0.6508910152227706;0.05937614680348784;0.995950635832403;0.0003045478673218769
81;ball_tree;30;euclidean;7;1;distance;0.6508910152227706;0.05937614680348784;0.995950635832403;0.0003045478673218769
35;auto;40;euclidean;7;2;distance;0.6508910152227706;0.05937614680348784;0.995950635832403;0.0003045478673218769
107;ball_tree;40;euclidean;7;2;distance;0.6508910152227706;0.05937614680348784;0.995950635832403;0.0003045478673218769
33;auto;40;euclidean;7;1;distance;0.6508910152227706;0.05937614680348784;0.995950635832403;0.0003045478673218769
155;kd_tree;30;euclidean;7;2;distance;0.6508910152227706;0.05937614680348784;0.995950635832403;0.0003045478673218769
56;auto;50;euclidean;7;1;uniform;0.6436628776637761;0.07033178141255968;0.7510390251535608;0.007196765224212205
106;ball_tree;40;euclidean;7;2;uniform;0.6436628776637761;0.07033178141255968;0.7510390251535608;0.007196765224212205
32;auto;40;euclidean;7;1;uniform;0.6436628776637761;0.07033178141255968;0.7510390251535608;0.007196765224212205
104;ball_tree;40;euclidean;7;1;uniform;0.6436628776637761;0.07033178141255968;0.7510390251535608;0.007196765224212205
130;ball_tree;50;euclidean;7;2;uniform;0.6436628776637761;0.07033178141255968;0.7510390251535608;0.007196765224212205
128;ball_tree;50;euclidean;7;1;uniform;0.6436628776637761;0.07033178141255968;0.7510390251535608;0.007196765224212205
58;auto;50;euclidean;7;2;uniform;0.6436628776637761;0.07033178141255968;0.7510390251535608;0.007196765224212205
80;ball_tree;30;euclidean;7;1;uniform;0.6436628776637761;0.07033178141255968;0.7510390251535608;0.007196765224212205
152;kd_tree;30;euclidean;7;1;uniform;0.6436628776637761;0.07033178141255968;0.7510390251535608;0.007196765224212205
202;kd_tree;50;euclidean;7;2;uniform;0.6436628776637761;0.07033178141255968;0.7510390251535608;0.007196765224212205
154;kd_tree;30;euclidean;7;2;uniform;0.6436628776637761;0.07033178141255968;0.7510390251535608;0.007196765224212205
8;auto;30;euclidean;7;1;uniform;0.6436628776637761;0.07033178141255968;0.7510390251535608;0.007196765224212205
34;auto;40;euclidean;7;2;uniform;0.6436628776637761;0.07033178141255968;0.7510390251535608;0.007196765224212205
82;ball_tree;30;euclidean;7;2;uniform;0.6436628776637761;0.07033178141255968;0.7510390251535608;0.007196765224212205
176;kd_tree;40;euclidean;7;1;uniform;0.6436628776637761;0.07033178141255968;0.7510390251535608;0.007196765224212205
178;kd_tree;40;euclidean;7;2;uniform;0.6436628776637761;0.07033178141255968;0.7510390251535608;0.007196765224212205
10;auto;30;euclidean;7;2;uniform;0.6436628776637761;0.07033178141255968;0.7510390251535608;0.007196765224212205
200;kd_tree;50;euclidean;7;1;uniform;0.6436628776637761;0.07033178141255968;0.7510390251535608;0.007196765224212205
