;param_alpha;param_loss;param_max_iter;param_penalty;param_random_state;mean_test_score;std_test_score;mean_train_score;std_train_score
101;0.1;modified_huber;100;elasticnet;42;0.6078628029721219;0.060673808092050335;0.6393285624360476;0.04652097004855857
104;0.1;modified_huber;500;elasticnet;42;0.6078628029721219;0.060673808092050335;0.6393285624360476;0.04652097004855857
107;0.1;modified_huber;1000;elasticnet;42;0.6078628029721219;0.060673808092050335;0.6393285624360476;0.04652097004855857
10;0.0001;log;100;l2;42;0.607063494938283;0.06786475770620777;0.6182249810333187;0.05295881925775211
95;0.1;log;500;elasticnet;42;0.5996591144143392;0.06924655667835111;0.6348957384158815;0.03882521968587193
98;0.1;log;1000;elasticnet;42;0.5996591144143392;0.06924655667835111;0.6348957384158815;0.03882521968587193
92;0.1;log;100;elasticnet;42;0.5996591144143392;0.06924655667835111;0.6348957384158815;0.03882521968587193
87;0.1;hinge;1000;l1;42;0.5901960307851792;0.08011043430631265;0.6156908408364774;0.04571793585476489
84;0.1;hinge;500;l1;42;0.5901960307851792;0.08011043430631265;0.6156908408364774;0.04571793585476489
81;0.1;hinge;100;l1;42;0.5901960307851792;0.08011043430631265;0.6156908408364774;0.04571793585476489
16;0.0001;log;1000;l2;42;0.5894440960815615;0.06448126165310533;0.6223022459902697;0.06436997999461513
13;0.0001;log;500;l2;42;0.5894440960815615;0.06448126165310533;0.6223022459902697;0.06436997999461513
96;0.1;log;1000;l1;42;0.5749576378062422;0.08223161976406865;0.6060120320126056;0.03034337408831994
93;0.1;log;500;l1;42;0.5749576378062422;0.08223161976406865;0.6060120320126056;0.03034337408831994
90;0.1;log;100;l1;42;0.5749576378062422;0.08223161976406865;0.6060120320126056;0.03034337408831994
